Variable,Coefficient_case,Abs_Coefficient_case,Coefficient_death,Abs_Coefficient_death
ht_region,-0.0036088837149030857,0.0036088837149030857,-3.165340101369279e-05,3.165340101369279e-05
ihme_lifexp_0104m,0.0027982619981586896,0.0027982619981586896,5.295621467430676e-05,5.295621467430676e-05
une_tdurce,-0.0014542095377010709,0.0014542095377010709,-3.639315064677331e-05,3.639315064677331e-05
wdi_export,0.0013317705479675363,0.0013317705479675363,2.8023779549195092e-05,2.8023779549195092e-05
who_alcohol10,0.0010771409532880512,0.0010771409532880512,2.8090467817997794e-05,2.8090467817997794e-05
ccodecow,-0.0003959960475403832,0.0003959960475403832,-5.2119702075286207e-05,5.2119702075286207e-05
epi_ev,0.00033908708532454725,0.00033908708532454725,1.2457976232029156e-05,1.2457976232029156e-05
wdi_fdiin,-0.0002701761064861486,0.0002701761064861486,-7.78187135572745e-06,7.78187135572745e-06
wgov_totmil,-0.00019121221560783875,0.00019121221560783875,-1.1409378555721243e-05,1.1409378555721243e-05
wef_wbp,8.692243789233969e-05,8.692243789233969e-05,2.24362127073487e-05,2.24362127073487e-05
wjp_cj_delay,-5.613403672999658e-05,5.613403672999658e-05,-3.4481491253293196e-05,3.4481491253293196e-05
