,ccode,cname,ccode_qog,cname_qog,ccodealp,version,bmr_dem,bmr_dembr,bmr_demdur,bmr_demfsuf,bmr_demtran,egov_egov,egov_epar,egov_hci,egov_osi,egov_tii,fh_aor,fh_cl,fh_ep,fh_feb,fh_fog,fh_pair,fh_ppp,fh_pr,fh_rol,fh_status,fhp_mcei5,fhp_mclr5,fhp_mcpp5,fhp_score5,fhp_status5,gendip_afr,gendip_afrp,gendip_afs,gendip_afsp,gendip_mar,gendip_mas,gendip_mfr,gendip_mfrp,gendip_mfs,gendip_mfsp,gendip_nar,gendip_nas,gendip_nfr,gendip_nfs,gendip_nfsp,gendip_rec,gendip_send,ht_colonial,ht_region,ipu_l_s,ipu_l_sw,ipu_l_w,jht_ccc,jht_ccd,nrmi_nrpi,une_oaepe,une_oeace,une_oeals,une_oeapsnt,une_oeaus,une_tdurce,une_tdurls,une_tdurpsnt,une_tdurused,wbgi_pve,wbgi_pvn,wbgi_pvs,wbgi_vae,wbgi_van,wbgi_vas,wdi_acel,wdi_acelu,wdi_agedr,wdi_area,wdi_birth,wdi_death,wdi_forest,wdi_migration,wdi_mobile,wdi_pop,wdi_pop14,wdi_pop1564,wdi_pop65,wdi_popden,wdi_popf,wdi_popgr,wdi_poprul,wdi_popurb,wdi_popurbagr,wdi_tele,wdi_wip,target_death,target_case
0,4,Afghanistan,4,Afghanistan,AFG,QoGStdCSjan23,0,0,220,0,0,0.32030001,0.46430001,0.37279999,0.4118,0.1762,4,6,3,6,3,2,7,5,2,3,16,17,27,60,2,2,4,12.0,19.0,28,41.0,2,7,3.0,7.0,21,22.0,0,9.0,41.0,49,63.0,0,8,244.0,27.89999961853027,68.0,52330.0,2189.0,0.6139349937438965,7.0,7.0,13.0,19.0,16.0,6.0,3.0,2.0,3.0,-2.6555312,6,0.24134798,-1.0067468,10,0.1272292,97.6999969482422,99.5,87.64932250976562,652230.0,36.46599960327148,6.790999889373779,1.852782011032104,-8082.0,59.78387832641602,37769500.0,44.29135131835938,53.2908935546875,2.417753934860229,57.90825271606445,49.45548629760742,2.908529043197632,74.24600219726562,25.75399971008301,3.919286966323853,0.3564675450325012,27.86885261535645,5.795681700843273e-05,0.0013855094719284079
1,8,Albania,8,Albania,ALB,QoGStdCSjan23,1,1,23,1,0,0.73989999,0.8452,0.80010003,0.84119999,0.57849997,9,3,8,13,7,9,12,3,9,2,17,15,19,51,2,23,25,13.0,25.0,41,36.0,9,22,9.0,25.0,51,15.0,14,4.0,27.0,92,51.0,0,1,122.0,29.5,36.0,58316.0,1181.0,100.0,6.0,6.0,11.0,0.0,15.0,5.0,4.0,0.0,3.0,0.11116863,7,0.23301464,0.14271137,11,0.12182092,100.0,100.0,47.2803955078125,27400.0,10.3430004119873,8.479999542236328,28.79197120666504,-8889.0,91.51642608642578,2854191.0,16.75175857543945,67.89768981933594,15.35055255889893,104.1675567626953,49.9393310546875,-0.4260073602199554,38.77099990844727,61.22900009155273,1.071413516998291,8.450550079345703,29.5081958770752,0.0004137774942181515,0.02043170902017419
2,12,Algeria,12,Algeria,DZA,QoGStdCSjan23,0,0,58,0,0,0.51730001,0.1548,0.69660002,0.27649999,0.57870001,4,5,3,7,3,7,4,6,6,3,19,22,24,65,3,15,18,6.0,10.0,67,39.0,11,16,5.0,13.0,15,23.0,4,1.0,4.0,82,62.0,6,3,462.0,25.79999923706055,119.0,99610.0,2756.0,43.20333480834961,6.0,6.0,11.0,0.0,15.0,5.0,4.0,0.0,3.0,-1.0443426,6,0.23851493,-1.0535238,10,0.12405412,99.5,99.8000030517578,57.05398941040039,2381741.0,23.29800033569336,4.392000198364258,0.8141103386878967,-36386.0,106.3696060180664,42705368.0,30.47259140014648,63.67237091064453,5.855036735534668,17.9303150177002,49.05347061157227,1.839444875717163,26.81100082397461,73.18900299072266,2.607529878616333,10.85394477844238,25.75757598876953,6.45352125287856e-05,0.0023324936574718193
3,20,Andorra,20,Andorra,AND,QoGStdCSjan23,1,0,26,1,0,0.68809998,0.51190001,0.74479997,0.4824,0.83719999,11,1,12,14,12,15,15,1,15,1,8,2,5,15,1,16,28,7.0,50.0,3,6.0,1,33,3.0,50.0,55,8.0,15,4.0,50.0,58,14.0,0,5,28.0,46.40000152587891,13.0,8049.0,84.0,100.0,6.0,6.0,12.0,18.0,16.0,6.0,4.0,1.0,2.0,1.6022023,3,0.28803214,1.110087,2,0.21834868,100.0,100.0,37.95832824707031,470.0,7.0,3.900000095367432,34.04255294799805,1238.0,115.1500473022461,76343.0,13.67184925079346,72.48535919189453,13.84278869628906,162.4319152832031,49.1230354309082,1.757491230964661,12.01599979400635,87.98400115966797,1.669357538223267,51.94582366943359,46.42856979370117,0.0011002973422579673,0.10543206318850451
4,24,Angola,24,Angola,AGO,QoGStdCSjan23,0,0,45,0,0,0.3847,0.4524,0.52950001,0.48820001,0.1364,6,5,3,7,2,3,6,6,5,3,21,22,30,73,3,11,17,10.0,15.0,44,43.0,6,14,6.0,14.0,20,25.0,5,4.0,16.0,64,68.0,7,4,220.0,30.0,66.0,17553.0,405.0,34.1073112487793,6.0,6.0,12.0,0.0,15.0,6.0,3.0,0.0,3.0,-0.35852498,7,0.21829574,-0.78340435,12,0.12026154,45.64279937744141,72.27718353271484,92.31356048583984,1246700.0,39.72499847412109,7.810999870300293,53.87217330932617,58986.0,45.83774185180664,32353588.0,45.42558670043945,51.99841690063477,2.575997114181519,25.95138168334961,50.59888076782227,3.395277738571167,33.82300186157227,66.177001953125,4.402191162109375,0.3855090141296387,30.0,1.2517931550590309e-05,0.0005425364259444733
5,28,Antigua and Barbuda,28,Antigua and Barbuda,ATG,QoGStdCSjan23,1,0,16,1,0,0.60549998,0.48809999,0.7518,0.44710001,0.61760002,10,2,12,15,8,13,13,2,14,1,11,8,15,34,2,12,32,2.0,17.0,4,8.0,3,75,2.0,25.0,34,4.0,9,0.0,0.0,38,12.0,5,10,18.0,11.10000038146973,2.0,159.0,5.0,90.2655792236328,5.0,5.0,12.0,17.0,15.0,7.0,3.0,2.0,2.0,0.95355517,4,0.27849552,0.7332198,2,0.20411859,100.0,100.0,40.48160171508789,440.0,11.48499965667725,5.864999771118164,18.59090995788574,0.0,199.7481384277344,92117.0,19.38686370849609,71.18431854248047,9.428821563720703,209.3568115234375,52.27699661254883,0.5344433784484863,75.49400329589844,24.50600051879883,0.1551659405231476,29.31086921691895,11.11111068725586,5.427879761607521e-05,0.0017260657641911916
6,31,Azerbaijan,31,Azerbaijan,AZE,QoGStdCSjan23,0,0,29,0,0,0.70999998,0.69050002,0.77130002,0.70590001,0.65280002,1,6,0,2,0,5,2,7,0,3,22,29,39,90,3,14,13,3.0,3.0,54,49.0,4,7,2.0,4.0,57,44.0,10,1.0,2.0,111,93.0,0,1,119.0,16.79999923706055,20.0,218700.0,2641.0,50.74021148681641,6.0,5.0,10.0,18.0,15.0,4.0,5.0,1.0,3.0,-0.68591243,6,0.23851493,-1.5294415,11,0.12602897,100.0,100.0,44.20588302612305,82654.0,14.10000038146973,5.599999904632568,13.55336666107178,392.0,105.057746887207,10024283.0,24.41365432739258,69.34529876708984,6.241043090820313,121.2800674438477,50.63796615600586,0.8466467261314392,43.96900177001953,56.03099822998047,1.475064754486084,16.35152244567871,16.80672264099121,0.00026346023950042115,0.02181702172614241
7,32,Argentina,32,Argentina,ARG,QoGStdCSjan23,1,4,37,1,0,0.82789999,0.85710001,0.91000003,0.84710002,0.72649997,11,2,11,15,8,14,16,2,10,1,15,13,18,46,2,22,23,37.0,22.0,77,77.0,17,22,11.0,14.0,19,92.0,5,26.0,28.0,96,169.0,2,2,254.0,40.20000076293945,102.0,1625514.0,43245.0,41.68119049072266,6.0,4.0,12.0,0.0,15.0,6.0,3.0,0.0,3.0,-0.091444202,8,0.22715022,0.57238466,14,0.12231406,100.0,100.0,55.13530731201172,2736690.0,14.78299999237061,7.599999904632568,10.48017883300781,4478.0,125.9409790039063,44938712.0,23.93954467773438,64.45985412597656,11.60059833526611,16.42082595825195,50.49030685424805,0.9933974742889404,8.008999824523926,91.99099731445312,1.125019669532776,17.33635711669922,40.1574821472168,0.0009623106243009368,0.0361717977141846
8,36,Australia,36,Australia,AUS,QoGStdCSjan23,1,0,119,1,0,0.94319999,0.96429998,1.0,0.94709998,0.88249999,12,1,12,15,12,15,16,1,15,1,7,6,9,22,1,22,21,76.0,40.0,97,80.0,21,22,33.0,41.0,10,110.0,1,43.0,39.0,107,190.0,0,5,151.0,30.5,46.0,28425.0,909.0,89.00056457519531,5.0,6.0,12.0,16.0,16.0,7.0,4.0,1.0,2.0,0.91174573,9,0.20948239,1.267398,11,0.1322594,100.0,100.0,52.92950439453125,7692020.0,12.10000038146973,6.699999809265137,17.42131423950195,235860.0,108.5886154174805,25340216.0,18.67845153808594,65.38961029052734,15.93194198608398,3.29435133934021,50.39304733276367,1.48520839214325,13.87600040435791,86.1240005493164,1.615335822105408,24.4506778717041,30.46357536315918,3.587183313670255e-05,0.001121734716073454
9,40,Austria,40,Austria,AUT,QoGStdCSjan23,1,1,74,1,0,0.89139998,0.97619998,0.90319997,0.94709998,0.824,12,1,12,14,10,15,15,1,15,1,6,8,8,22,1,40,28,55.0,28.0,115,85.0,31,27,29.0,34.0,29,108.0,9,26.0,24.0,144,193.0,0,5,183.0,39.29999923706055,72.0,356063.0,7486.0,100.0,6.0,5.0,10.0,16.0,14.0,4.0,4.0,1.0,4.0,0.91674793,8,0.22715022,1.3387489,10,0.12308559,100.0,100.0,50.04911422729492,82520.0,9.600000381469728,9.399999618530272,47.20746612548828,41105.0,120.7891006469727,8879920.0,14.42504215240479,66.64484405517578,18.93011283874512,107.6093063354492,50.81106567382813,0.444673627614975,41.48500061035156,58.51499938964844,0.8179106116294861,41.9161376953125,39.34426116943359,0.0008430256128433589,0.04009754592383715
10,44,Bahamas (the),44,Bahamas,BHS,QoGStdCSjan23,1,0,47,1,0,0.70169997,0.61900002,0.75459999,0.67650002,0.67390001,12,1,12,15,10,13,16,1,13,1,7,5,11,23,1,11,26,1.0,10.0,5,9.0,3,60,1.0,11.0,37,1.0,8,0.0,0.0,42,10.0,5,10,39.0,12.80000019073486,5.0,7871.0,170.0,99.9993896484375,5.0,5.0,11.0,16.0,14.0,6.0,3.0,1.0,3.0,0.81623769,6,0.23854543,0.90619415,4,0.15646781,100.0,100.0,40.28559494018555,10010.0,11.48700046539307,7.942999839782715,50.93506622314453,1001.0,105.1785049438477,404557.0,20.74899291992188,71.28315734863281,7.967851161956787,40.415283203125,52.11156845092773,0.6574410796165466,16.86800003051758,83.13200378417969,0.7862750291824341,22.52562713623047,12.82051277160645,0.0004202127265131984,0.019455849237561086
11,48,Bahrain,48,Bahrain,BHR,QoGStdCSjan23,0,0,49,0,0,0.82130003,0.77380002,0.84390002,0.78820002,0.8319,1,6,2,2,2,6,0,7,1,3,22,28,37,87,3,2,3,3.0,6.0,24,22.0,1,4,1.0,5.0,34,29.0,1,2.0,7.0,58,51.0,5,3,40.0,15.0,6.0,92675.0,352.0,14.6690149307251,6.0,6.0,12.0,18.0,15.0,6.0,3.0,2.0,3.0,-0.62735951,6,0.23851493,-1.4292325,6,0.1392675,100.0,100.0,29.89787673950195,783.0,13.19799995422363,2.0,0.86845463514328,-17127.0,128.4065399169922,1494188.0,20.06828498840332,76.98352813720703,2.94818902015686,1908.2861328125,37.53068542480469,0.4593625962734222,10.60599994659424,89.39399719238281,0.5791176557540894,18.27895736694336,15.0,0.00023557945854203085,0.06202365431926906
12,50,Bangladesh,50,Bangladesh,BGD,QoGStdCSjan23,0,2,6,0,0,0.51889998,0.57139999,0.57309997,0.61180001,0.37169999,5,5,4,6,4,9,7,5,4,2,16,19,27,62,3,11,15,7.0,9.0,36,57.0,8,22,7.0,12.0,38,18.0,3,0.0,0.0,74,75.0,5,8,349.0,20.60000038146973,72.0,513510.0,7559.0,18.17520332336426,6.0,6.0,11.0,18.0,14.0,5.0,3.0,2.0,4.0,-0.93297529,7,0.23301464,-0.74178559,11,0.1234497,92.1999969482422,97.8000030517578,49.25527572631836,130170.0,18.35000038146973,5.28000020980835,14.46877193450928,-344054.0,100.0336990356445,165516224.0,27.55682373046875,66.99930572509766,5.443869590759277,1271.538940429688,50.35883712768555,1.11317253112793,62.59500122070313,37.40499877929688,3.201394557952881,0.8758332133293152,20.63037300109863,4.566923904692268e-05,0.003102475319881633
13,51,Armenia,51,Armenia,ARM,QoGStdCSjan23,1,0,2,1,0,0.71359998,0.75,0.78719997,0.69999999,0.65359998,8,4,6,9,5,9,10,4,6,2,20,20,23,63,3,18,20,15.0,16.0,30,42.0,8,27,5.0,12.0,62,51.0,10,10.0,20.0,92,93.0,0,1,132.0,23.5,31.0,159409.0,2823.0,99.99594116210938,6.0,6.0,10.0,0.0,15.0,4.0,5.0,0.0,3.0,-0.41342437,6,0.23851493,0.055480633,10,0.12723638,100.0,100.0,47.7730598449707,28470.0,12.89200019836426,9.661999702453612,11.54478359222412,-25363.0,128.2969665527344,2820602.0,20.30442810058594,67.67132568359375,12.02424335479736,99.0727767944336,54.80510711669922,-0.5640655159950256,36.78099822998047,63.21900177001953,-0.4532780051231384,16.00973892211914,23.48484802246094,0.0010008501731190718,0.0565159494320716
14,52,Barbados,52,Barbados,BRB,QoGStdCSjan23,1,0,54,1,0,0.72790003,0.5952,0.8549,0.5765,0.75230002,12,1,12,16,10,15,16,1,14,1,6,3,10,19,1,17,33,3.0,27.0,13,8.0,5,38,2.0,25.0,38,3.0,12,1.0,33.0,51,11.0,5,10,30.0,20.0,6.0,383.0,7.0,2.805804252624512,5.0,5.0,11.0,16.0,14.0,6.0,3.0,2.0,2.0,1.0492275,5,0.24750973,1.1028352,4,0.1520986,100.0,100.0,47.55610275268555,430.0,10.88500022888184,8.90999984741211,14.65116310119629,-65.0,117.5408630371094,280180.0,17.6049633026123,67.7710189819336,14.6240177154541,651.5814208984375,52.09400939941406,0.1757557541131973,68.84200286865234,31.15800094604492,0.2109947353601456,45.70026397705078,20.0,2.4983938896423727e-05,0.001366978371047184
15,56,Belgium,56,Belgium,BEL,QoGStdCSjan23,1,0,126,1,0,0.80470002,0.6548,0.95209998,0.65880001,0.80330002,12,1,12,15,11,15,16,1,15,1,6,3,3,12,1,46,26,9.0,5.0,171,81.0,45,26,6.0,7.0,3,105.0,1,3.0,3.0,174,186.0,0,5,150.0,42.0,63.0,646496.0,19528.0,100.0,6.0,6.0,12.0,18.0,14.0,6.0,2.0,1.0,4.0,0.47377753,8,0.22715022,1.3101982,10,0.12308559,100.0,100.0,55.97237777709961,30280.0,10.19999980926514,9.5,22.76420021057129,54395.0,99.99135589599608,11488980.0,16.87431144714355,64.1139144897461,19.01177597045898,379.4247131347656,50.67243576049805,0.5404613018035889,1.958999991416931,98.04100036621094,0.5812716484069824,34.14609909057617,42.0,0.001699715727592876,0.05627096574282486
17,68,Bolivia (Plurinational State of),68,Bolivia,BOL,QoGStdCSjan23,1,1,38,1,0,0.61290002,0.5952,0.73790002,0.58240002,0.51840001,8,3,8,14,7,10,10,3,6,2,14,16,23,53,2,15,29,0.0,0.0,22,23.0,6,27,0.0,0.0,29,6.0,9,0.0,0.0,51,29.0,2,2,130.0,53.09999847412109,69.0,160124.0,9165.0,97.12037658691406,6.0,4.0,12.0,0.0,14.0,6.0,2.0,0.0,4.0,-0.73008567,7,0.23301464,-0.11638152,13,0.12242842,95.08000183105467,99.4800033569336,57.96405410766602,1083300.0,22.32299995422363,7.126999855041504,47.10953521728516,-8978.0,99.24868774414064,11777315.0,31.70833969116211,63.30553817749023,4.986119747161865,10.87170219421387,49.76447677612305,1.457504391670227,30.22699928283691,69.77300262451172,1.957510113716125,5.538376808166504,53.07692337036133,0.0007781909543898588,0.013595968181202591
